,E.C,TDS,Cl,NO3 ,Na,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L
209,1352,865.28,200,58.9057,143.7238086,104.0,24.31,359.9588816,3.293627153,3,-1.092035556
210,487,311.68,80,2.546675,37.38850751,40.0,14.586,159.9753289,1.285238679,2,-1.071174511
211,781,499.84,90,60.89875,77.82966687,56.0,19.448,219.9671053,2.281594524,3,-0.604322695
212,2270,1452.8,510,12.22404,239.8172365,144.0,63.206,619.8930921,4.187879333,0,-5.40024074
213,809,517.76,20,46.5045,37.40802198,64.0,38.896,319.9342105,0.909298695,3,-0.12026667
214,2020,1292.8,330,117.58995,374.3006246,48.0,9.724,159.9835526,12.86634071,3,4.741473134
215,1715,1097.6,260,217.9068,109.7419942,160.0,53.482,619.9095395,1.916376568,3,-6.787015139
216,691,442.24,40,3.63178,104.575608,16.0,19.448,119.9671053,4.151179114,2,2.942454881
217,2380,1523.2,430,96.77365,284.1420921,88.0,87.516,579.8519737,5.130375677,0,-2.076259964
218,1310,838.4,220,9.07945,87.13108243,96.0,53.482,459.9095395,1.766481381,3,-3.038126411
219,4850,3104.0,950,420.755,366.6563255,184.0,228.514,1399.613487,4.261154552,0,-16.34540083
220,2260,1446.4,440,376.465,71.86106115,184.0,126.412,979.7861842,0.998159936,0,-16.49316636
221,1248,798.72,270,83.04375,58.30705248,120.0,48.62,499.9177632,1.133819619,3,-6.909154175
222,920,588.8,140,2.87885,101.9702086,56.0,24.31,239.9588816,2.862048949,3,-0.144050083
223,879,562.56,20,14.83715,83.4421257,72.0,19.448,259.9671053,2.250081889,3,2.574456388
224,1170,748.8,60,29.2314,150.7620236,16.0,53.482,259.9095395,4.06586554,3,4.054666595
225,1704,1090.56,350,192.88295,180.0455177,96.0,53.482,459.9095395,3.650213517,3,-5.85124811
226,1596,1021.44,190,144.16395,111.6911638,64.0,97.24,559.8355263,2.052394078,3,-3.725293888
227,1878,1201.92,240,42.0755,215.3232932,32.0,97.24,479.8355263,4.273827386,3,1.132061869
228,957,612.48,120,55.3625,100.1396797,56.0,29.172,259.9506579,2.70042986,3,-0.376665055
229,3500,2240.0,720,310.03,422.9361745,104.0,140.998,839.7615132,6.345546243,0,-8.491465458
230,645,412.8,50,32.21090909,53.0,32.0,38.896,239.9342105,1.48765404,2,-0.598684211
231,654,418.56,40,46.10186364,61.0,32.0,38.896,239.9342105,1.712205593,2,-0.598684211
232,590,377.6,40,44.29,59.0,24.0,34.034,199.9424342,1.814143713,2,0.001151316
233,918,587.52,90,27.17795455,87.0,32.0,53.482,299.9095395,2.184219483,3,-1.398190789
234,554,354.56,60,34.42540909,63.0,24.0,29.172,179.9506579,2.04190717,2,-0.999013158
235,441,282.24,70,27.58059091,57.0,24.0,14.586,119.9753289,2.262564897,2,-0.799506579
236,446,285.44,20,7.650090909,41.0,16.0,24.31,139.9588816,1.506800616,2,0.800822368
237,620,396.8,70,43.88736364,69.0,32.0,34.034,219.9424342,2.022864259,2,-1.198848684
238,342,218.88,30,2.617136364,43.0,16.0,14.586,99.97532895,1.869795881,2,0.200493421
239,546,349.44,40,32.41222727,60.0,24.0,29.172,179.9506579,1.944673495,2,0.000986842
240,1095,700.8,170,182.7969091,148.0,40.0,63.206,359.8930921,3.391931898,3,-3.597861842
241,1302,833.28,140,209.27025,79.85293591,96.0,58.344,479.9013158,1.58484605,3,-4.489670196
242,2430,1555.2,470,78.8362,147.4961885,96.0,160.446,899.7286184,2.137948277,0,-8.942538729
243,1856,1187.84,250,162.5443,171.5126738,176.0,29.172,559.9506579,3.151327228,3,-3.121239135
244,1173,750.72,230,8.437245,87.66690542,80.0,48.62,399.9177632,1.905998231,3,-3.424574971
245,587,375.68,40,12.97697,34.05380163,64.0,14.586,219.9753289,0.99827634,2,-0.175523878
246,1728,1105.92,300,240.4947,95.43079899,192.0,43.758,659.9259868,1.615150918,3,-9.055128052
247,649,415.36,70,37.42505,38.98749683,56.0,24.31,239.9588816,1.094281613,2,-1.222537667
248,1778,1137.92,300,122.6833,121.9907584,152.0,48.62,579.9177632,2.202499859,3,-5.080796912
249,1919,1228.16,260,38.75375,215.73876,96.0,63.206,499.8930921,4.195287948,3,-1.748633811
250,1404,898.56,260,189.1183,76.33240433,152.0,38.896,539.9342105,1.428271214,3,-7.656289512
251,1506,963.84,180,186.23945,107.1757466,128.0,48.62,519.9177632,2.043625691,3,-4.027002157
252,1161,743.04,140,125.56215,84.98350433,96.0,38.896,399.9342105,1.847619434,3,-2.873728091
253,1356,867.84,180,79.2791,111.5437787,56.0,72.93,439.8766447,2.312341986,3,-2.061179789
254,1007,644.48,160,56.91265,104.2529963,80.0,19.448,279.9671053,2.708988779,3,-1.455858921
255,1475,944.0,280,10.6296,157.598808,128.0,19.448,399.9671053,3.426201927,3,-2.276991771
256,1339,856.96,150,65.9921,70.41989156,72.0,82.654,519.8601974,1.342839885,3,-2.768841438
257,1778,1137.92,300,122.6833,121.9907584,152.0,48.62,579.9177632,2.202499859,3,-5.080796912
258,1249,799.36,200,17.93745,67.8796969,64.0,77.792,479.8684211,1.347258626,3,-3.453378726
259,1174,751.36,90,41.41115,104.6739926,80.0,38.896,359.9342105,2.398829551,3,0.780487581
260,1268,811.52,170,105.18875,80.5001113,104.0,48.62,459.9177632,1.632031561,3,-3.552384737
261,1549,991.36,320,56.2483,109.548683,120.0,58.344,539.9013158,2.049850234,3,-5.769321852
262,813,520.32,30,14.239235,59.43722198,48.0,38.896,279.9342105,1.544552514,3,1.22851591
263,1186,759.04,90,34.302605,154.8754567,48.0,34.034,259.9424342,4.176535463,3,3.034599297
264,1552,993.28,270,31.003,209.0,40.0,48.62,299.9177632,5.247076015,3,-1.998355263
265,763,488.32,120,17.11204545,84.0,32.0,29.172,199.9506579,2.582795561,3,-1.399013158
266,1699,1087.36,190,1.811863636,136.0,40.0,43.758,279.9259868,3.534186498,3,-3.198519737
267,1250,800.0,230,89.18395455,182.0,48.0,24.31,219.9588816,5.335471453,3,-1.799177632
268,1210,774.4,180,110.9263182,145.0,48.0,29.172,239.9506579,4.06985741,3,-1.799013158
269,580,371.2,10,33.2175,14.1310685,48.0,34.034,259.9424342,0.381073347,2,-0.420404199
270,1872,1198.08,270,239.166,121.5265423,168.0,63.206,679.8930921,2.026389802,3,-7.182251231
271,900,576.0,80,40.52535,32.06496904,88.0,38.896,379.9342105,0.71523505,3,-1.848318809
272,463,296.32,70,2.6574,41.8859952,40.0,9.724,139.9835526,1.539226377,2,-0.503716802
273,955,611.2,50,35.432,82.63768615,64.0,34.034,299.9424342,2.074585588,0,1.245016597
274,1870,1196.8,380,272.3835,101.4417798,152.0,82.654,719.8601974,1.643860438,3,-11.43086115
275,2350,1504.0,530,205.9485,257.8130012,144.0,63.206,619.8930921,4.50213569,0,-8.588208913
276,1262,807.68,180,42.29695,98.64370488,96.0,43.758,419.9259868,2.092932218,3,-2.142171393
277,1130,723.2,150,88.58,76.98178831,72.0,53.482,399.9095395,1.673706403,3,-2.740713995
278,1943,1243.52,340,101.867,257.3996798,32.0,82.654,419.8601974,5.461699647,3,-1.100962895
279,970,620.8,60,59.7915,94.31462036,72.0,24.31,279.9588816,2.45077849,3,1.097489277
280,1184,757.76,110,108.5105,51.88061293,88.0,63.206,479.8930921,1.029686486,3,-3.290848701
281,1010,646.4,80,25.46675,141.4692268,32.0,29.172,199.9506579,4.349834416,3,2.999876053
282,4860,3110.4,1050,44.29,161.7915062,488.0,213.928,2099.638158,1.535167097,0,-30.87054464
283,1734,1109.76,310,106.296,97.65486215,128.0,82.654,659.8601974,1.652875221,3,-6.862134445
284,473,302.72,20,9.7438,25.95773746,40.0,19.448,179.9671053,0.841283622,2,0.216365912
285,1033,661.12,170,70.864,55.10541238,64.0,58.344,399.9013158,1.198091547,3,-4.020817694
286,782,500.48,30,84.151,33.36323429,56.0,43.758,319.9259868,0.810990095,3,-1.005719616
287,1090,697.6,70,77.5075,39.58012307,104.0,48.62,459.9177632,0.802433798,3,-2.048077203
288,1466,938.24,210,70.864,118.3005616,64.0,77.792,479.8684211,2.347998877,3,-2.523991385
289,1961,1255.04,270,139.5135,136.6798124,72.0,58.344,419.9013158,2.900032869,3,0.73499382
290,617,394.88,60,3.76465,31.34381556,40.0,34.034,239.9424342,0.879772731,2,-0.609977014
291,749,479.36,80,70.864,43.85447438,56.0,34.034,279.9424342,1.139598075,2,-1.91600233
292,982,628.48,220,20.8163,88.21230163,96.0,14.586,299.9753289,2.214412624,3,-2.838427915
293,1486,951.04,200,34.1033,105.0818557,80.0,77.792,519.8684211,2.003794494,3,-2.251126345
294,1349,863.36,180,46.28305,155.5836327,88.0,29.172,339.9506579,3.66883456,3,0.233516139
295,1860,1190.4,400,192.6615,208.3860012,88.0,63.206,479.8930921,4.13588501,3,-6.159862215
296,1066,682.24,170,11.9583,89.49147492,72.0,38.896,339.9342105,2.110359254,3,-1.482275589
297,619,396.16,80,14.1728,41.53655991,72.0,9.724,219.9835526,1.217608254,2,-1.053080651
298,920,588.8,140,19.0447,74.60801819,112.0,4.862,299.9917763,1.872849991,3,-1.475213931
299,617,394.88,20,154.79355,22.93834923,72.0,19.448,259.9671053,0.618550447,2,-2.401486469
300,882,564.48,130,47.3903,74.85415728,48.0,38.896,279.9342105,1.945181368,3,-1.630605909
301,1198,766.72,130,60.89875,111.089953,56.0,53.482,359.9095395,2.545952332,3,-0.382069631
302,747,478.08,30,15.5015,52.41760271,64.0,24.31,259.9588816,1.413503828,2,0.995932013
303,318,203.52,30,3.9861,26.43778932,24.0,9.724,99.98355263,1.149563641,2,0.029886211
304,572,366.08,20,133.7558,20.88274977,56.0,24.31,239.9588816,0.586126604,2,-2.024202948
305,861,551.04,120,50.0477,70.29350433,48.0,38.896,279.9342105,1.826666947,3,-1.641021822
306,383,245.12,20,3.9861,13.96250217,32.0,19.448,159.9671053,0.479976611,2,-0.202610279
307,1240,793.6,150,56.36909091,196.0,56.0,14.586,199.9753289,6.026151217,3,1.800493421
308,1009,645.76,210,34.82804545,179.0,80.0,5.0,200.0,5.503135384,3,-0.4
309,726,464.64,30,64.42181818,116.0,32.0,14.586,139.9753289,4.262892735,2,2.600493421
310,2019,1292.16,360,41.87418182,199.0,80.0,102.102,619.8273026,3.475280705,3,-4.196546053
311,1556,995.84,230,102.6722727,136.0,80.0,58.344,439.9013158,2.819249044,3,-3.198026316
312,903,577.92,130,52.34272727,132.0,56.0,24.31,239.9588816,3.704910155,3,-0.399177632
313,990,633.6,40,65.9921,82.12910913,80.0,29.172,319.9506579,1.996309035,3,1.00133621
314,1363,872.32,260,41.85405,85.40600488,128.0,43.758,499.9259868,1.660763206,3,-4.887025039
315,1019,652.16,70,28.7885,69.61665085,88.0,34.034,359.9424342,1.59539698,3,0.242576995
316,1600,1024.0,330,11.9583,168.1888332,120.0,34.034,439.9424342,3.486353295,3,-3.582966402
317,1292,826.88,130,9.52235,105.7912749,104.0,38.896,419.9342105,2.244560866,3,-0.135891623
318,953,609.92,50,26.1311,36.05333963,96.0,38.896,399.9342105,0.783832715,3,-0.645452263
319,1544,988.16,290,60.2344,106.0090289,136.0,48.62,539.9177632,1.983586813,3,-5.099912825
320,610,390.4,70,50.9335,48.81981502,32.0,29.172,199.9506579,1.501090494,2,-0.942997003
321,1330,851.2,250,152.8005,114.0632183,72.0,58.344,419.9013158,2.420160493,3,-5.162176102
322,670,428.8,60,6.42205,81.55781502,16.0,29.172,159.9506579,2.803785148,2,1.47170137
323,980,627.2,230,15.72295,51.42502361,64.0,53.482,379.9095395,1.147113958,3,-4.948443831
324,1371,877.44,300,31.4459,67.52827872,96.0,72.93,539.8766447,1.263602783,3,-6.567012639
325,660,422.4,50,31.22445,50.60750271,48.0,24.31,219.9588816,1.483598275,2,0.075378125
326,1705,1091.2,220,126.2265,100.4303429,144.0,68.068,639.8848684,1.726180432,3,-4.553918704
327,670,428.8,20,77.5075,17.37714551,56.0,38.896,299.9342105,0.436252169,2,-1.34636667
328,345,220.8,50,2.2145,43.88047755,8.0,9.724,59.98355263,2.463357347,2,0.415908514
329,595,380.8,10,14.83715,27.64329683,56.0,24.31,239.9588816,0.775878266,2,0.507528758
330,610,390.4,60,50.9335,21.4156161,40.0,38.896,259.9342105,0.577525302,2,-1.881493493
331,1364,872.96,280,84.151,75.58033274,72.0,82.654,519.8601974,1.441244556,3,-6.417801232
332,260,166.4,20,33.2175,5.076154025,32.0,9.724,119.9835526,0.201486567,2,-0.967067797
333,1483,949.12,310,44.29,122.5261322,64.0,77.792,479.8684211,2.431866906,3,-4.684698918
334,450,288.0,40,31.22445,21.54214977,32.0,24.31,179.9588816,0.698191508,2,-0.838280645
335,370,236.8,10,44.29,12.02327167,48.0,9.724,159.9835526,0.41329215,2,-0.616297996
336,1164,744.96,120,0.68665,123.0606578,56.0,43.758,320.0,2.991345915,3,1.130955747
337,2820,1804.8,460,88.6,322.1284826,24.0,160.446,720.0,5.220557757,0,-1.91917369
338,1388,888.32,190,1.17395,173.7189712,32.0,58.344,320.0,4.222905856,3,1.195261751
339,1260,806.4,250,27.5546,125.9555755,72.0,43.758,360.0,2.886575747,3,-2.807544523
340,1970,1260.8,320,127.584,224.302459,24.0,106.964,500.0,4.362141847,3,-2.147693782
341,1215,777.6,240,69.7725,97.37056424,80.0,48.62,400.0,2.116969024,3,-4.545336439
342,2430,1555.2,380,170.7765,273.3512098,96.0,87.516,600.0,4.852562282,0,-2.102619292
343,3814,2440.96,630,287.2810455,426.0,112.0,136.136,839.7697368,6.391483222,0,-9.995394737
344,462,295.68,50,44.49131818,44.0,16.0,34.034,179.9424342,1.426126483,2,-0.998848684
345,425,272.0,40,34.82804545,36.0,16.0,29.172,159.9506579,1.237603843,2,-0.599013158
346,340,217.6,40,76.29959091,67.0,16.0,24.31,139.9588816,2.462332714,2,-0.199177632
347,1127,721.28,120,69.25345455,116.0,32.0,58.344,319.9013158,2.819824892,3,-0.598026316
348,1485,950.4,140,151.5925909,193.0,32.0,68.068,359.8848684,4.423313079,3,-0.397697368
349,722,462.08,50,42.47813636,72.0,24.0,34.034,199.9424342,2.213870294,2,0.201151316
350,1244,796.16,170,37.24386364,134.0,40.0,53.482,319.9095395,3.25734206,3,-0.998190789
351,1381,883.84,260,47.51109091,154.0,64.0,58.344,399.9013158,3.348239135,3,-4.398026316
352,1118,715.52,170,2.415818182,128.0,32.0,53.482,299.9095395,3.213564297,3,-0.798190789
353,1394,892.16,200,47.10845455,152.0,72.0,58.344,419.9013158,3.225092194,3,-2.198026316
354,717,458.88,140,22.34631818,61.0,40.0,38.896,259.9342105,1.645016575,2,-3.598684211
355,1510,966.4,240,130.8568182,120.0,88.0,63.206,479.8930921,2.381667667,3,-7.597861842
356,1128,721.92,210,48.92031818,111.0,56.0,43.758,319.9259868,2.698176675,3,-3.998519737
357,750,480.0,20,5.636909091,58.0,24.0,43.758,239.9259868,1.628026661,3,1.001480263
358,946,605.44,90,27.37927273,75.0,24.0,68.068,339.8848684,1.768754314,3,-1.197697368
359,2315,1481.6,340,134.8831818,256.0,112.0,43.758,459.9259868,5.190009525,0,-2.798519737
360,700,448.0,80,19.9305,61.0,24.0,43.758,239.9259868,1.712234936,2,-0.798519737
361,1780,1139.2,250,7.9722,204.088137,64.0,68.068,439.8848684,4.230779719,3,1.077676655
362,2850,1824.0,580,7.30785,264.1625851,216.0,77.792,859.8684211,3.916764593,0,-8.779302592
363,1812,1159.68,170,7.30785,142.7847594,128.0,58.344,559.9013158,2.623603938,3,-1.157527218
364,1610,1030.4,120,6.42205,205.8761231,56.0,48.62,339.9177632,4.855022145,3,3.598216649
365,2110,1350.4,390,7.9722,135.2891455,240.0,38.896,759.9342105,2.133767617,3,-8.644301687
366,2010,1286.4,480,0.66435,124.8112546,184.0,68.068,739.8848684,1.995004318,3,-9.398766863
367,870,556.8,30,26.1311,35.94681076,72.0,43.758,359.9259868,0.823807852,3,-0.19880533
368,2280,1459.2,370,21.2592,251.3515851,112.0,77.792,599.8684211,4.461961231,0,-1.892398676
369,1950,1248.0,220,19.70905,148.257707,160.0,63.206,659.8930921,2.509300378,3,-4.379773654
370,2330,1491.2,270,1.99305,175.2754183,120.0,111.826,759.8108553,2.764651726,0,-4.799977922
371,1275,816.0,90,29.2314,147.2480573,64.0,38.896,319.9342105,3.579244751,3,-0.721993372
372,5440,3481.6,1500,167.19475,597.8544632,424.0,92.378,1439.84375,6.850305768,0,-20.03074991
373,1745,1116.8,320,121.7975,163.8370391,152.0,34.034,519.9424342,3.123968335,3,-2.707125173
374,2355,1507.2,340,66.435,273.0,80.0,82.654,539.8601974,5.108508925,0,-3.797203947
375,565,361.6,40,38.04913636,89.0,48.0,4.862,139.9917763,3.196981731,2,1.200164474
376,766,490.24,20,41.27022727,39.0,40.0,24.31,199.9588816,1.199130423,3,-0.199177632
377,555,355.2,20,14.09227273,40.0,40.0,24.31,199.9588816,1.229877357,2,0.400822368
378,735,470.4,30,18.92390909,44.0,72.0,34.034,319.9424342,0.9965982,2,0.401151316
379,875,560.0,80,49.72559091,66.0,64.0,34.034,299.9424342,1.631798632,3,-0.798848684
380,2080,1331.2,370,143.7411818,163.0,120.0,82.654,639.8601974,2.801671553,3,-8.597203947
381,585,374.4,30,13.48831818,28.0,48.0,34.034,259.9424342,0.755077631,2,0.001151316
382,1285,822.4,210,102.0683182,98.0,96.0,63.206,499.8930921,1.905722546,3,-4.997861842
383,274,175.36,40,1.24012,12.31,16.0,14.586,99.97532895,0.535283425,2,-0.799506579
384,1358,869.12,130,184.6893,115.0,32.0,82.654,419.8601974,2.440156336,3,-1.397203947
385,510,326.4,10,0.4429,51.22,8.0,38.896,179.9342105,1.660178811,2,1.601315789
386,1887,1207.68,290,118.2543,197.0,32.0,106.964,519.8190789,3.756749891,3,-2.596381579
387,2880,1843.2,390,417.6547,230.0,24.0,209.066,919.6463816,3.297536161,0,-7.992927632
388,798,510.72,70,13.86277,83.0,24.0,38.896,219.9342105,2.433345977,3,1.001315789
389,793,507.52,60,159.8869,17.04,72.0,19.448,259.9671053,0.459496868,3,-2.399342105
390,4170,2668.8,790,272.8264,532.4,48.0,189.618,899.6792763,7.717317222,0,-3.993585526
391,507,324.48,50,0.4429,37.38,32.0,19.448,159.9671053,1.28497926,2,0.200657895
392,524,335.36,30,150.586,35.31,48.0,19.448,199.9671053,1.085651912,2,-1.999342105
393,503,321.92,40,4.11897,51.73,32.0,4.862,99.99177632,2.249222921,2,1.800164474
394,2410,1542.4,390,343.2475,260.4,136.0,68.068,619.8848684,4.547342085,0,-6.197697368
395,1710,1094.4,90,42.9613,263.8,8.0,72.93,320.0,6.41,3,7.2
396,433,277.12,30,24.04947,6.18,32.0,34.034,219.9424342,0.181178277,2,-1.198848684
397,390,249.6,30,20.93709091,43.0,24.0,9.724,99.98355263,1.869718983,2,-0.399671053
398,442,282.88,30,24.3595,46.0,24.0,14.586,119.9753289,1.825929566,2,0.600493421
399,540,345.6,40,60.19413636,53.0,24.0,19.448,139.9671053,1.947758208,2,0.000657895
400,1251,800.64,140,95.62613636,135.0,64.0,48.62,359.9177632,3.093885891,3,-1.598355263
401,872,558.08,80,29.49714,72.0,48.0,29.172,239.9506579,2.020894714,3,0.600986842
402,1116,714.24,120,39.19665,79.0,112.0,38.896,439.9342105,1.637590792,3,-1.398684211
403,814,520.96,90,29.40856,72.0,40.0,38.896,259.9342105,1.941658908,3,0.401315789
404,339,216.96,60,3.49891,29.0,32.0,14.586,139.9753289,1.065723184,2,-0.599506579
405,854,546.56,80,29.27569,72.0,64.0,24.31,259.9588816,1.94156677,3,0.600822368
406,1489,952.96,180,191.3328,87.0,144.0,38.896,519.9342105,1.658888588,3,-5.998684211
407,868,555.52,80,31.09158,72.0,48.0,38.896,279.9342105,1.871012428,3,0.401315789
408,809,517.76,80,77.0646,70.0,72.0,19.448,259.9671053,1.887604504,3,-0.799342105
409,3034,1941.76,670,29.19113636,523.0,152.0,53.482,599.9095395,9.283911009,0,-4.598190789
410,864,552.96,110,59.7915,97.0,80.0,34.034,339.9424342,2.287395215,3,-1.998848684
411,812,519.68,100,61.80468182,74.0,64.0,68.068,439.8848684,1.534031834,3,-3.397697368
412,1442,922.88,130,13.08568182,231.0,40.0,72.93,399.8766447,5.022513632,3,2.802467105
413,1197,766.08,130,7.851409091,138.0,24.0,111.826,519.8108553,2.63165272,3,-0.796217105
414,982,628.48,80,12.68304545,54.0,72.0,82.654,519.8601974,1.02972828,3,-2.997203947
415,388,248.32,30,5.636909091,66.0,32.0,4.862,99.99177632,2.869683217,2,0.400164474
416,1001,640.64,120,6.240863636,93.0,96.0,34.034,379.9424342,2.074417713,3,-2.598848684
417,2744,1756.16,650,60.79809091,156.0,312.0,87.516,1139.851974,2.008965759,0,-18.99703947
418,1108,709.12,110,24.3595,224.0,32.0,63.206,339.8930921,5.282615645,3,1.402138158
419,1289,824.96,160,141.3253636,168.0,80.0,72.93,499.8766447,3.267006681,3,-3.997532895
420,752,481.28,50,40.86759091,107.0,56.0,38.896,299.9342105,2.68622842,3,0.801315789
421,875,560.0,50,32.21090909,104.0,40.0,72.93,399.8766447,2.261218259,3,1.602467105
422,1118,715.52,130,35.83463636,225.0,32.0,72.93,379.8766447,5.019187102,3,3.002467105
423,509,325.76,30,8.455363636,41.0,32.0,19.448,159.9671053,1.409420804,2,0.000657895
424,1325,848.0,200,157.0281818,123.0,48.0,82.654,459.8601974,2.493815757,3,-4.797203947
425,1179,754.56,150,106.6986364,133.0,64.0,43.758,339.9259868,3.136401273,3,-2.398519737
426,1568,1003.52,200,195.2786364,209.0,96.0,9.724,279.9835526,5.430654706,3,-1.399671053
427,508,325.12,30,20.53445455,46.0,16.0,24.31,139.9588816,1.690556788,2,0.400822368
428,1242,794.88,110,33.01618182,171.0,24.0,58.344,299.9013158,4.293179914,3,1.801973684
429,1666,1066.24,230,58.38227273,231.0,24.0,68.068,339.8848684,5.447763288,3,-0.797697368
430,2950,1888.0,610,93.009,561.0,40.0,19.448,179.9671053,18.18186629,0,1.600657895
431,2080,1331.2,430,120.20306,105.0,120.0,121.55,799.7944079,1.614255525,3,-11.59588816
432,1030,659.2,130,11.64827,104.0,48.0,48.62,319.9177632,2.528053881,3,0.601644737
433,2714,1736.96,590,35.34342,199.0,120.0,145.86,899.7532895,2.884453345,0,-12.39506579
434,753,481.92,100,76.1788,42.0,88.0,19.448,299.9671053,1.054349602,3,-2.799342105
435,2016,1290.24,130,20.94917,363.0,24.0,38.896,219.9342105,10.64222397,3,11.40131579
436,1796,1149.44,310,241.07047,66.0,224.0,29.172,679.9506579,1.100467954,3,-10.39901316
437,484,309.76,50,5.53625,46.0,40.0,14.586,159.9753289,1.581260745,2,0.200493421
438,1601,1024.64,260,115.95122,56.0,200.0,34.034,639.9424342,0.962475618,3,-6.998848684
439,4534,2901.76,800,168.21342,610.0,144.0,126.412,879.7861842,8.94156278,0,-6.595723684
440,2898,1854.72,490,85.30254,395.0,56.0,97.24,539.8355263,7.391601223,0,-3.796710526
441,1544,988.16,90,143.0567,36.0,24.0,155.584,699.7368421,0.5917078,3,-4.394736842
442,1396,893.44,170,74.8501,96.42,80.0,68.068,479.8848684,1.913686367,3,-2.197697368
443,997,638.08,90,79.2791,57.48,40.0,63.206,359.8930921,1.31735301,3,-1.797861842
444,1289,824.96,250,35.8749,43.2,120.0,58.344,539.9013158,0.808348651,3,-6.798026316
445,1250,800.0,220,40.7468,77.39,80.0,53.482,419.9095395,1.642022637,3,-3.798190789
446,669,428.16,60,30.73726,16.0,48.0,43.758,299.9259868,0.401684523,2,-1.798519737
447,1565,1001.6,200,187.7896,160.0,72.0,63.206,439.8930921,3.316794584,3,-2.397861842
448,2580,1651.2,500,16.3873,283.0,40.0,126.412,619.7861842,4.942397303,0,-2.795723684
449,635,406.4,40,26.35255,48.36,32.0,34.034,219.9424342,1.417763994,2,0.201151316
450,1239,792.96,240,53.148,50.0,136.0,38.896,499.9342105,0.972267436,3,-6.198684211
451,1356,867.84,120,159.444,95.04,80.0,63.206,459.8930921,1.926859943,3,-2.397861842
452,1450,928.0,280,94.7806,57.52,72.0,102.102,599.8273026,1.02112269,3,-7.596546053
453,1036,663.04,170,17.14023,40.2,80.0,53.482,419.9095395,0.852943662,3,-3.798190789
454,950,608.0,70,26.30826,71.14,48.0,53.482,339.9095395,1.677661539,3,0.201809211
455,770,492.8,80,10.05383,62.69,56.0,24.31,239.9588816,1.759551648,3,-0.399177632
456,2480,1587.2,390,393.7381,29.37,128.0,213.928,1199.638158,0.368681185,0,-18.19276316
457,710,454.4,20,0.93009,47.84,64.0,29.172,279.9506579,1.243147293,2,1.200986842
458,423,270.72,50,8.32652,32.19,40.0,9.724,139.9835526,1.182917986,2,-0.399671053
459,654,418.56,40,32.7746,27.81,80.0,14.586,259.9753289,0.749906442,2,-0.799506579
460,1392,890.88,230,103.1957,40.0,104.0,87.516,619.8519737,0.698534984,3,-7.197039474
461,480,307.2,30,22.145,48.0,32.0,14.586,139.9753289,1.763955614,2,-0.199506579
462,941,602.24,120,23.75554545,95.0,48.0,43.758,299.9259868,2.385001854,3,-0.998519737
463,710,454.4,100,41.87418182,71.0,48.0,24.31,219.9588816,2.081420182,2,-1.199177632
464,1286,823.04,150,81.73518182,152.0,72.0,38.896,339.9342105,3.58441524,3,-1.598684211
465,752,481.28,70,21.54104545,88.0,40.0,24.31,199.9588816,2.705730185,3,-0.199177632
466,2290,1465.6,320,227.2077,147.0,200.0,87.516,859.8519737,2.179604282,0,-8.197039474
467,1414,904.96,160,73.0785,96.0,112.0,63.206,539.8930921,1.796344016,3,-2.197861842
468,2340,1497.6,280,211.2633,231.0,152.0,72.93,679.8766447,3.851847484,0,-1.997532895
469,2420,1548.8,280,366.7212,173.0,176.0,97.24,839.8355263,2.595500675,0,-7.596710526
470,771,493.44,60,26.75116,75.0,64.0,19.448,239.9671053,2.105026517,3,0.600657895
471,826,528.64,70,31.4459,81.0,64.0,24.31,259.9588816,2.184262617,3,0.600822368
472,1235,790.4,140,68.6495,70.5,96.0,68.068,519.8848684,1.344335578,3,-3.197697368
473,350,224.0,40,4.16326,29.0,32.0,9.724,119.9835526,1.151090059,2,-0.199671053
474,1126,720.64,130,26.574,55.0,96.0,53.482,459.9095395,1.115061047,3,-1.998190789
475,610,390.4,70,25.82107,29.16,64.0,24.31,259.9588816,0.786334542,2,-1.599177632
476,1120,716.8,120,13.41987,118.5,64.0,38.896,319.9342105,2.880448889,3,0.801315789
477,962,615.68,60,1.55015,75.0,88.0,29.172,339.9506579,1.768583156,3,1.000986842
478,3120,1996.8,500,420.755,212.0,192.0,150.722,1099.745066,2.779470147,0,-13.59490132
479,1465,937.6,180,91.2374,87.2,136.0,43.758,519.9259868,1.662715275,3,-3.398519737
480,1305,835.2,50,240.9376,41.3,80.0,97.24,599.8355263,0.733172427,3,-4.196710526
481,928,593.92,20,2.617136364,135.0,48.0,38.896,279.9342105,3.508148302,3,3.201315789
482,818,523.52,40,43.48472727,55.0,128.0,9.724,359.9835526,1.260356844,3,-1.599671053
483,878,561.92,40,45.09527273,40.0,80.0,43.758,379.9259868,0.892241985,3,-0.798519737
484,457,292.48,20,25.36609091,27.0,40.0,34.034,239.9424342,0.757848504,2,-0.798848684
485,627,401.28,40,21.94368182,68.0,72.0,19.448,259.9671053,1.833672946,2,0.200657895
486,795,508.8,50,15.90413636,74.0,80.0,19.448,279.9671053,1.922872021,3,2.000657895
487,891,570.24,130,45.09527273,98.0,48.0,38.896,279.9342105,2.546655804,3,-1.798684211
488,885,566.4,70,22.34631818,92.0,56.0,38.896,299.9342105,2.309654342,3,0.401315789
489,1545,988.8,180,141.728,164.0,72.0,68.068,459.8848684,3.324998486,3,-2.997697368
